Year,Births,Deaths,DeathsMale,DeathsFemale,NormalizedBirths,NormalizedDeaths
1950,92049.049,48778.106999999996,25779.18,22998.929,1.0,1.0
1951,92801.786,48504.270000000004,25499.930999999997,23004.338,1.0081775641158444,0.9943860675036038
1952,97570.59999999999,47636.416,24930.048,22706.357,1.059984878279405,0.9765941921444389
1953,97518.85700000002,47488.826,24800.991,22687.83,1.0594227540580026,0.973568449468529
1954,100310.56699999998,46992.56000000001,24534.629,22457.931000000004,1.089751258592579,0.9633944999136603
1955,101769.30799999999,46955.928,24560.455000000005,22395.469,1.1055986901070536,0.9626435072603372
1956,101788.65100000001,46796.416,24491.145,22305.27,1.105808828073824,0.9593733516554875
1957,105938.961,47258.903000000006,24753.478000000003,22505.438000000002,1.1508968550017284,0.9688547979116945
1958,104518.01600000002,46772.702999999994,24523.078,22249.628999999997,1.1354600306625657,0.9588872114286845
1959,101881.529,51317.021,26894.213,24422.802,1.1068178336095573,1.0520502773918636
1960,102221.576,54963.62100000001,28798.843999999997,26164.773999999998,1.110512027125886,1.1268092261144946
1961,100948.168,49993.18500000001,26227.608,23765.572999999997,1.0966780113067762,1.024910314785279
1962,112010.89,46396.484000000004,24366.763,22029.727,1.2168609150975584,0.9511743454906934
1963,119775.57199999999,47269.55900000001,24829.914,22439.638,1.3012146600232664,0.9690732565738972
1964,117350.157,47055.325000000004,24730.793999999998,22324.534,1.2748655013263637,0.9646812452151947
1965,117889.296,48449.856,25549.345000000005,22900.498999999996,1.2807225851947694,0.9932705260579301
1966,117139.60899999998,48033.613,25243.514000000003,22790.104,1.2725781555874627,0.9847371280726414
1967,116795.805,47905.74199999999,25181.837,22723.908000000003,1.2688431468748798,0.9821156446272093
1968,121705.17800000001,47938.135,25193.478000000003,22744.65,1.3221774621484683,0.9827797335390651
1969,122076.13500000001,48224.93000000001,25342.399999999998,22882.527,1.3262074548972256,0.9886593180010043
1970,124071.62299999999,48524.098,25446.263,23077.842999999997,1.3478859841343933,0.9947925613431452
1971,123599.36600000001,49673.983,26350.844999999998,23323.133,1.342755491151245,1.018366354397476
1972,123226.015,47951.854999999996,25151.825,22800.036,1.3386994905292287,0.9830610072670511
1973,123220.74200000001,47670.414,24998.111,22672.299,1.3386422058526646,0.9772911851622287
1974,122386.633,47483.916000000005,24929.559999999998,22554.357,1.3295806347765744,0.9734677895556711
1975,120441.11699999998,47582.744999999995,25070.184999999998,22512.555,1.3084449900183106,0.9754938829421977
1976,120596.48499999999,47397.623,24933.9,22463.725,1.3101328727470067,0.9716986967124411
1977,119990.214,46735.94099999999,24647.560999999994,22088.396,1.303546482050021,0.9581335536452859
1978,121288.136,46850.013999999996,24768.14,22081.889,1.3176468124075893,0.9604721642846862
1979,124239.199,46903.774,24829.2,22074.564,1.3497064918074275,0.961574298075979
1980,126739.378,47306.398,25067.41,22238.994000000002,1.3768678696506684,0.9698284929343405
1981,129101.656,47378.162,25146.617,22231.547,1.4025311222932895,0.9712997267401131
1982,132457.56199999998,47551.781,25267.738,22284.04,1.438988924263628,0.9748590899601742
1983,130926.477,48123.797,25562.767,22561.030000000002,1.4223555639341803,0.9865859903091361
1984,133339.911,48330.981,25679.887,22651.095,1.4485745637632823,0.9908334696137348
1985,135364.327,48675.199,25810.893000000004,22864.308,1.470567360234216,0.9978902830320989
1986,138364.676,48476.931000000004,25701.566000000003,22775.371,1.503162471564481,0.9938255906486901
1987,140493.96099999998,48624.102,25816.242,22807.86,1.5262945410766817,0.9968427434053561
1988,139937.861,49274.075000000004,26183.119000000002,23090.950999999997,1.5202531967494852,1.0101678402566956
1989,141123.873,49054.219000000005,26048.573000000004,23005.653,1.5331377622380433,1.0056605722727208
1990,142396.593,49609.43000000001,26359.274,23250.16,1.5469643037811287,1.0170429533069008
1991,137338.842,50071.93,26521.278000000002,23550.653,1.492018043554149,1.026524666076115
1992,135708.498,50171.70999999999,26656.953,23514.744,1.474306355951597,1.0285702559141952
1993,134648.601,50759.074,27001.412000000004,23757.669,1.4627918752316496,1.040611805620091
1994,134141.837,51509.244999999995,27388.590000000004,24120.665999999997,1.457286506023544,1.0559910617277541
1995,133628.376,51345.284999999996,27276.118000000002,24069.164,1.4517083821257077,1.0526297176723156
1996,133007.015,51508.621,27281.49,24227.139000000003,1.4449580570897589,1.055978269103391
1997,132551.059,51449.090000000004,27236.205,24212.889,1.440004654475029,1.054757824037739
1998,132238.883,51749.721999999994,27459.065000000002,24290.671000000002,1.4366132451840974,1.0609210808447322
1999,132326.57200000001,51984.512,27524.628999999997,24459.881999999998,1.4375658786002234,1.0657345107714
2000,133982.37900000002,52091.100000000006,27645.182999999997,24445.925000000003,1.4555541904620874,1.0679196714214434
2001,133845.977,52086.472,27781.313000000002,24305.157,1.454072350057631,1.0678247927907494
2002,133989.064,52472.502,27996.13,24476.36,1.4556268147865385,1.0757387940454517
2003,134272.877,52849.54100000001,28223.986000000004,24625.557,1.4587100948756135,1.0834684708039206
2004,135195.28399999999,52956.056000000004,28340.898,24615.164,1.4687309154057635,1.0856521348809212
2005,135764.31100000002,53204.417,28516.903,24687.506999999998,1.474912695730295,1.0907437838864884
